NF_SSB_dB (fin1=7e+09) X,NF_SSB_dB (fin1=7e+09) Y
166000000,10.36056291867646
167000000,10.36085658956624
168000000,10.36115110788646
169000000,10.36144645899984
170000000,10.3617426285061
171000000,10.3620396023187
172000000,10.36233736675376
173000000,10.36263590841367
174000000,10.36293521422706
175000000,10.36323527138681
176000000,10.36353606737993
177000000,10.3638375899875
178000000,10.36413982726092
179000000,10.36444276756127
180000000,10.36474639944988
181000000,10.36505071171919
182000000,10.36535569349167
183000000,10.36566133404795
184000000,10.36596762298861
185000000,10.3662745500162
186000000,10.36658210518433
187000000,10.36689027864847
188000000,10.36719906086179
189000000,10.36750844241428
190000000,10.3678184141636
191000000,10.36812896702251
192000000,10.36844009232176
193000000,10.36875178131712
194000000,10.36906402562522
195000000,10.36937681692739
196000000,10.36969014714828
197000000,10.37000400836649
198000000,10.37031839275804
199000000,10.37063329270899
200000000,10.37094870075767
201000000,10.37126460956854
202000000,10.37158101196273
203000000,10.37189790090574
204000000,10.37221526950869
205000000,10.37253311099927
206000000,10.37285141871788
207000000,10.37317018619536
208000000,10.37348940699754
209000000,10.37380907493121
210000000,10.37412918377701
211000000,10.37444972758214
212000000,10.37477070041582
213000000,10.37509209646105
214000000,10.37541391002639
215000000,10.37573613552107
216000000,10.37605876748203
217000000,10.37638180050772
218000000,10.37670522928374
219000000,10.37702904872475
220000000,10.37735325363144
221000000,10.37767783905811
222000000,10.37800280005411
223000000,10.37832813183759
224000000,10.37865382965296
225000000,10.37897988880026
226000000,10.37930630479046
227000000,10.37963307307719
228000000,10.37996018927248
229000000,10.38028764903282
230000000,10.38061544808827
231000000,10.38094358225933
232000000,10.38127204744153
233000000,10.38160083957552
234000000,10.38192995467464
235000000,10.38225938885444
236000000,10.38258913828126
237000000,10.38291919912789
238000000,10.38324956775017
239000000,10.38358024043205
240000000,10.38391121363573
241000000,10.38424248376012
242000000,10.38457404744346
243000000,10.38490590115224
244000000,10.38523804159163
245000000,10.38557046542272
246000000,10.38590316944753
247000000,10.38623615040549
248000000,10.38656940517624
249000000,10.38690293066379
250000000,10.38723672378694
251000000,10.38757078160191
252000000,10.38790510111794
253000000,10.38823967943963
254000000,10.38857451369615
255000000,10.38890960108554
256000000,10.38924493883766
257000000,10.38958052421107
258000000,10.38991635454825
259000000,10.3902524271745
260000000,10.39058873947263
261000000,10.39092528892025
262000000,10.39126207296853
263000000,10.39159908912115
264000000,10.39193633495511
265000000,10.39227380801637
266000000,10.3926115060159
267000000,10.39294942649138
268000000,10.39328756720887
269000000,10.39362592587956
270000000,10.39396450028027
271000000,10.39430328818584
272000000,10.3946422874323
273000000,10.39498149587001
274000000,10.3953209114201
275000000,10.39566053195138
276000000,10.39600035545431
277000000,10.39634037989436
278000000,10.39668060325184
279000000,10.39702102362909
280000000,10.397361639013
281000000,10.39770244761892
282000000,10.39804344742191
283000000,10.39838463664606
284000000,10.39872601344117
285000000,10.39906757602172
286000000,10.39940932258306
287000000,10.39975125139809
288000000,10.40009336074637
289000000,10.40043564887145
290000000,10.40077811417984
291000000,10.40112075492398
292000000,10.40146356952578
293000000,10.40180655634777
294000000,10.40214971379444
295000000,10.40249304030342
296000000,10.40283653434004
297000000,10.40318019435502
298000000,10.40352401883593
299000000,10.40386800633618
300000000,10.40421215534166
301000000,10.40455646441573
302000000,10.40490093215923
303000000,10.40524555711965
304000000,10.40559033792324
305000000,10.40593527321485
306000000,10.40628036162633
307000000,10.40662560179678
308000000,10.40697099240951
309000000,10.4073165321754
310000000,10.40766221981377
311000000,10.40800805405764
312000000,10.40835403360302
313000000,10.40870015728461
314000000,10.40904642382233
315000000,10.40939283201087
316000000,10.4097393807009
317000000,10.41008606870581
318000000,10.41043289484123
319000000,10.41077985792546
320000000,10.41112695688964
321000000,10.41147419058345
322000000,10.41182155793654
323000000,10.41216905777848
324000000,10.41251668910008
325000000,10.41286445082016
326000000,10.4132123418713
327000000,10.41356036121966
328000000,10.41390850784814
329000000,10.41425678072862
330000000,10.41460517886483
331000000,10.41495370125239
332000000,10.41530234693013
333000000,10.41565111493688
334000000,10.41600000427093
335000000,10.41634901406124
336000000,10.41669814334863
337000000,10.4170473911688
338000000,10.41739675665806
339000000,10.41774623889291
340000000,10.41809583698939
341000000,10.41844555004028
342000000,10.41879537723323
343000000,10.41914531766584
344000000,10.41949537051577
345000000,10.41984553492463
346000000,10.42019581006541
347000000,10.42054619512568
348000000,10.42089668929334
349000000,10.42124729172813
350000000,10.42159800171734
351000000,10.42194881840646
352000000,10.42229974103956
353000000,10.42265076886369
354000000,10.42300190112067
355000000,10.42335313702375
356000000,10.42370447588663
357000000,10.42405591694903
358000000,10.4244074594716
359000000,10.42475910280297
360000000,10.42511084614227
361000000,10.42546268881663
362000000,10.42581463020334
363000000,10.42616666953712
364000000,10.42651880617606
365000000,10.42687103942613
366000000,10.42722336864136
367000000,10.42757579315001
368000000,10.42792831234444
369000000,10.42828092551236
370000000,10.42863363209648
371000000,10.42898643141021
372000000,10.42933932284555
373000000,10.42969230580959
374000000,10.43004537967817
375000000,10.43039854380655
376000000,10.43075179770692
377000000,10.43110514068483
378000000,10.43145857217203
379000000,10.43181209166072
380000000,10.43216569852338
381000000,10.43251939219032
382000000,10.43287317210762
383000000,10.43322703774226
