S21 dB20 (K_in=0.325) X,S21 dB20 (K_in=0.325) Y
4650000000,9.611882187303724
4660000000,9.778185245523463
4670000000,9.944983863430235
4680000000,10.11227808204862
4690000000,10.28006776390146
4700000000,10.44835258428445
4710000000,10.61713202266194
4720000000,10.7864053537331
4730000000,10.95617163791032
4740000000,11.12642971136208
4750000000,11.29717817639202
4760000000,11.46841539056978
4770000000,11.64013945581238
4780000000,11.81234820674984
4790000000,11.98503919955732
4800000000,12.15820969928274
4810000000,12.33185666685824
4820000000,12.50597674653915
4830000000,12.68056625190833
4840000000,12.85562115161316
4850000000,13.03113705456795
4860000000,13.2071091951838
4870000000,13.38353241695402
4880000000,13.5604011565838
4890000000,13.73770942709113
4900000000,13.91545079953768
4910000000,14.09361838599414
4920000000,14.27220481987037
4930000000,14.45120223727101
4940000000,14.63060225615
4950000000,14.81039595648935
4960000000,14.9905738586806
4970000000,15.17112590096402
4980000000,15.35204141778202
4990000000,15.53330911511236
5000000000,15.71491704753849
5010000000,15.89685259299396
5020000000,16.07910242686614
5030000000,16.26165249654185
5040000000,16.44448799398405
5050000000,16.62759332805614
5060000000,16.81095209660158
5070000000,16.99454705706611
5080000000,17.17836009678756
5090000000,17.36237220332599
5100000000,17.54656343227674
5110000000,17.73091287647139
5120000000,17.91539863417092
5130000000,18.09999777510453
5140000000,18.28468630817378
5150000000,18.46943914752185
5160000000,18.65423007830119
5170000000,18.83903172247053
5180000000,19.0238155037122
5190000000,19.20855161270456
5200000000,19.39320897294635
5210000000,19.5777552038767
5220000000,19.76215658842264
5230000000,19.94637803664664
5240000000,20.13038305236384
5250000000,20.31413369935816
5260000000,20.49759056908538
5270000000,20.6807127475983
5280000000,20.86345778650823
5290000000,21.04578167200879
5300000000,21.2276387982009
5310000000,21.40898194089951
5320000000,21.58976223344771
5330000000,21.76992914710242
5340000000,21.9494304717355
5350000000,22.12821230045114
5360000000,22.30621901941601
5370000000,22.48339330012213
5380000000,22.65967609606351
5390000000,22.8350066459508
5400000000,23.00932248009641
5410000000,23.18255943524891
5420000000,23.35465167420402
5430000000,23.52553171282974
5440000000,23.6951304562013
5450000000,23.8633772399547
5460000000,24.03019988397774
5470000000,24.19552475338829
5480000000,24.35927682972604
5490000000,24.52137979326398
5500000000,24.68175611745132
5510000000,24.84032717210349
5520000000,24.99701334233942
5530000000,25.15173415709066
5540000000,25.30440843284
5550000000,25.45495443051824
5560000000,25.60329002277173
5570000000,25.74933287937028
5580000000,25.89300066254989
5590000000,26.03421123747303
5600000000,26.17288289499629
5610000000,26.30893458753817
5620000000,26.44228617507489
5630000000,26.5728586845354
5640000000,26.70057457701681
5650000000,26.82535802500312
5660000000,26.94713519544529
5670000000,27.06583453822063
5680000000,27.18138708135583
5690000000,27.29372672280018
5700000000,27.40279052492919
5710000000,27.50851900540882
5720000000,27.61085642129997
5730000000,27.70975104754807
5740000000,27.80515544196257
5750000000,27.89702669854965
5760000000,27.98532668427019
5770000000,28.07002225720962
5780000000,28.1510854645447
5790000000,28.22849371685513
5800000000,28.3022299352924
5810000000,28.37228267451333
5820000000,28.4386462166736
5830000000,28.50132063095002
5840000000,28.56031180884281
5850000000,28.61563146263039
5860000000,28.66729709567371
5870000000,28.71533193904962
5880000000,28.75976485939245
5890000000,28.80063023440391
5900000000,28.83796780266744
5910000000,28.87182248433967
5920000000,28.90224417834414
5930000000,28.92928753542471
5940000000,28.95301171155852
5950000000,28.97348010427432
5960000000,28.99076007145969
5970000000,29.00492264053431
5980000000,29.01604220469356
5990000000,29.02419621562446
6000000000,29.02946487017584
6010000000,29.03193079550345
6020000000,29.03167873408801
6030000000,29.02879523570381
6040000000,29.02336834942102
6050000000,29.01548732931822
6060000000,29.00524234201461
6070000000,28.99272419120499
6080000000,28.97802405039135
6090000000,28.96123321093795
