S11 dB20 (Ccomp=3e-14) X,S11 dB20 (Ccomp=3e-14) Y
2590000000,-2.183658468649674
2600000000,-2.187833316484662
2610000000,-2.192038765307819
2620000000,-2.196275058538771
2630000000,-2.200542442500592
2640000000,-2.20484116646016
2650000000,-2.209171482669091
2660000000,-2.213533646405443
2670000000,-2.21792791601607
2680000000,-2.222354552959639
2690000000,-2.226813821850433
2700000000,-2.231305990502813
2710000000,-2.235831329976464
2720000000,-2.240390114622391
2730000000,-2.244982622129641
2740000000,-2.249609133572851
2750000000,-2.254269933460598
2760000000,-2.258965309784501
2770000000,-2.263695554069209
2780000000,-2.268460961423211
2790000000,-2.273261830590482
2800000000,-2.278098464003043
2810000000,-2.282971167834358
2820000000,-2.287880252053678
2830000000,-2.292826030481312
2840000000,-2.297808820844789
2850000000,-2.302828944836019
2860000000,-2.307886728169439
2870000000,-2.312982500641102
2880000000,-2.318116596188832
2890000000,-2.323289352953376
2900000000,-2.328501113340642
2910000000,-2.333752224084949
2920000000,-2.339043036313423
2930000000,-2.344373905611524
2940000000,-2.349745192089602
2950000000,-2.355157260450726
2960000000,-2.360610480059643
2970000000,-2.366105225012894
2980000000,-2.371641874210222
2990000000,-2.377220811427216
3000000000,-2.382842425389151
3010000000,-2.388507109846239
3020000000,-2.394215263650073
3030000000,-2.399967290831534
3040000000,-2.405763600679991
3050000000,-2.411604607823918
3060000000,-2.417490732312945
3070000000,-2.423422399701346
3080000000,-2.429400041133028
3090000000,-2.435424093427983
3100000000,-2.441494999170354
3110000000,-2.447613206797988
3120000000,-2.453779170693613
3130000000,-2.459993351277697
3140000000,-2.466256215102882
3150000000,-2.472568234950185
3160000000,-2.478929889926824
3170000000,-2.485341665565997
3180000000,-2.491804053928194
3190000000,-2.498317553704597
3200000000,-2.504882670322096
3210000000,-2.511499916050465
3220000000,-2.518169810111261
3230000000,-2.52489287878883
3240000000,-2.531669655543259
3250000000,-2.538500681125459
3260000000,-2.545386503694228
3270000000,-2.552327678935589
3280000000,-2.559324770184226
3290000000,-2.566378348547129
3300000000,-2.573488993029615
3310000000,-2.580657290663472
3320000000,-2.58788383663769
3330000000,-2.595169234431435
3340000000,-2.602514095949504
3350000000,-2.609919041660315
3360000000,-2.617384700736507
3370000000,-2.62491171119796
3380000000,-2.63250072005764
3390000000,-2.640152383470111
3400000000,-2.647867366882763
