freq	dB(S(2,1))
1.57009999999999980E10	-2.01828146257446890E1
1.58009999999999980E10	-2.04034607364354950E1
1.59010000000000010E10	-2.06219030757507140E1
1.60009999999999990E10	-2.08381861279183590E1
1.61009999999999990E10	-2.10523531870698700E1
1.62010000000000010E10	-2.12644463859811370E1
1.63009999999999990E10	-2.14745067253417240E1
1.64009999999999990E10	-2.16825741033192010E1
1.65009999999999970E10	-2.18886873452230680E1
1.66009999999999990E10	-2.20928842331046350E1
1.67010000000000010E10	-2.22952015351573120E1
1.68009999999999990E10	-2.24956750348053400E1
1.69009999999999990E10	-2.26943395593891270E1
1.70009999999999970E10	-2.28912290083730820E1
1.71010000000000000E10	-2.30863763810162800E1
1.72010000000000000E10	-2.32798138034593060E1
1.73009999999999970E10	-2.34715725551911800E1
1.74010000000000000E10	-2.36616830948696990E1
1.75009999999999980E10	-2.38501750854759550E1
1.76010000000000000E10	-2.40370774187907310E1
1.77010000000000000E10	-2.42224182391858810E1
1.78009999999999980E10	-2.44062249667284490E1
1.79010000000000000E10	-2.45885243195991570E1
1.80009999999999980E10	-2.47693423358303820E1
1.81009999999999980E10	-2.49487043943709660E1
1.82010000000000010E10	-2.51266352354879400E1
1.83009999999999980E10	-2.53031589805166050E1
1.84010000000000010E10	-2.54782991509719370E1
1.85009999999999990E10	-2.56520786870357220E1
1.86009999999999990E10	-2.58245199654340270E1
1.87010000000000010E10	-2.59956448167210000E1
1.88009999999999990E10	-2.61654745419848920E1
1.89009999999999990E10	-2.63340299289927420E1
1.90009999999999970E10	-2.65013312677902400E1
1.91009999999999990E10	-2.66673983657733430E1
1.92010000000000010E10	-2.68322505622482590E1
1.93009999999999990E10	-2.69959067424960390E1
1.94009999999999990E10	-2.71583853513580740E1
1.95009999999999970E10	-2.73197044063584780E1
1.96010000000000000E10	-2.74798815103789980E1
1.97010000000000000E10	-2.76389338639016340E1
1.98009999999999970E10	-2.77968782768342270E1
1.99010000000000000E10	-2.79537311799333650E1
2.00009999999999980E10	-2.81095086358389470E1
2.01010000000000000E10	-2.82642263497342050E1
2.02010000000000020E10	-2.84178996796445380E1
2.03010000000000000E10	-2.85705436463882380E1
2.04009999999999980E10	-2.87221729431915750E1
2.05009999999999960E10	-2.88728019449804970E1
2.06009999999999980E10	-2.90224447173607340E1
2.07010000000000010E10	-2.91711150252975230E1
2.08009999999999980E10	-2.93188263415060920E1
2.09010000000000010E10	-2.94655918545633710E1
2.10009999999999990E10	-2.96114244767512160E1
2.11010000000000010E10	-2.97563368516408430E1
2.12009999999999990E10	-2.99003413614281350E1
2.13009999999999970E10	-3.00434501340287860E1
2.14009999999999990E10	-3.01856750499420560E1
2.15009999999999970E10	-3.03270277488918130E1
2.16009999999999990E10	-3.04675196362526360E1
2.17010000000000010E10	-3.06071618892691520E1
2.18009999999999990E10	-3.07459654630758680E1
2.19010000000000020E10	-3.08839410965249520E1
2.20009999999999990E10	-3.10210993178286600E1
2.21009999999999970E10	-3.11574504500234410E1
2.22010000000000000E10	-3.12930046162618150E1
2.23009999999999970E10	-3.14277717449384660E1
2.24010000000000000E10	-3.15617615746563020E1
2.25009999999999980E10	-3.16949836590383780E1
2.26010000000000000E10	-3.18274473713910490E1
2.27010000000000020E10	-3.19591619092236370E1
2.28010000000000000E10	-3.20901362986298100E1
2.29009999999999980E10	-3.22203793985353840E1
2.30009999999999960E10	-3.23498999048174340E1
2.31009999999999980E10	-3.24787063542989920E1
2.32010000000000010E10	-3.26068071286239340E1
2.33009999999999980E10	-3.27342104580159890E1
2.34010000000000010E10	-3.28609244249260520E1
2.35009999999999990E10	-3.29869569675715460E1
2.36010000000000010E10	-3.31123158833716410E1
2.37009999999999990E10	-3.32370088322818090E1
2.38009999999999970E10	-3.33610433400311600E1
2.39009999999999990E10	-3.34844268012659540E1
2.40009999999999970E10	-3.36071664826023750E1
2.41009999999999990E10	-3.37292695255915250E1
2.42010000000000010E10	-3.38507429495999770E1
2.43009999999999990E10	-3.39715936546080770E1
2.44010000000000020E10	-3.40918284239294510E1
2.45009999999999990E10	-3.42114539268536080E1
2.46009999999999970E10	-3.43304767212148710E1
2.47010000000000000E10	-3.44489032558894780E1
2.48009999999999970E10	-3.45667398732235490E1
2.49010000000000000E10	-3.46839928113940130E1
2.50009999999999980E10	-3.48006682067047770E1
2.51010000000000000E10	-3.49167720958201280E1
2.52010000000000020E10	-3.50323104179374400E1
2.53010000000000000E10	-3.51472890169011130E1
2.54009999999999980E10	-3.52617136432595850E1
2.55009999999999960E10	-3.53755899562673770E1
2.56009999999999980E10	-3.54889235258336200E1
2.57010000000000010E10	-3.56017198344189990E1
2.58009999999999980E10	-3.57139842788826820E1
2.59010000000000010E10	-3.58257221722806780E1
2.60009999999999990E10	-3.59369387456172260E1
2.61010000000000010E10	-3.60476391495506920E1
2.62009999999999990E10	-3.61578284560552410E1
2.63009999999999970E10	-3.62675116600398000E1
2.64009999999999990E10	-3.63766936809255140E1
2.65009999999999970E10	-3.64853793641829680E1
2.66009999999999990E10	-3.65935734828303530E1
2.67010000000000010E10	-3.67012807388939160E1
2.68009999999999990E10	-3.68085057648316030E1
2.69010000000000020E10	-3.69152531249211210E1
2.70009999999999990E10	-3.70215273166134650E1
2.71009999999999970E10	-3.71273327718528500E1
2.72010000000000000E10	-3.72326738583642140E1
2.73009999999999970E10	-3.73375548809090100E1
2.74010000000000000E10	-3.74419800825103750E1
2.75009999999999980E10	-3.75459536456485180E1
2.76010000000000000E10	-3.76494796934272010E1
2.77010000000000020E10	-3.77525622907121330E1
2.78010000000000000E10	-3.78552054452419370E1
2.79009999999999980E10	-3.79574131087128920E1
2.80009999999999960E10	-3.80591891778376600E1
2.81009999999999980E10	-3.81605374953791190E1
2.82010000000000010E10	-3.82614618511598350E1
2.83009999999999980E10	-3.83619659830478810E1
2.84010000000000010E10	-3.84620535779197460E1
2.85009999999999990E10	-3.85617282726008040E1
2.86010000000000010E10	-3.86609936547840990E1
2.87009999999999990E10	-3.87598532639280570E1
2.88009999999999970E10	-3.88583105921335650E1
2.89009999999999990E10	-3.89563690850011080E1
2.90009999999999970E10	-3.90540321424684580E1
2.91009999999999990E10	-3.91513031196294610E1
2.92010000000000010E10	-3.92481853275343790E1
2.93009999999999990E10	-3.93446820339723670E1
2.94010000000000020E10	-3.94407964642364780E1
2.95009999999999990E10	-3.95365318018717330E1
2.96009999999999970E10	-3.96318911894066030E1
2.97010000000000000E10	-3.97268777290685420E1
2.98009999999999970E10	-3.98214944834836700E1
2.99010000000000000E10	-3.99157444763613970E1
3.00009999999999980E10	-4.00096306931640470E1
3.01010000000000000E10	-4.01031560817620920E1
3.02010000000000020E10	-4.01963235530752530E1
3.03010000000000000E10	-4.02891359816998930E1
3.04009999999999980E10	-4.03815962065230490E1
3.05009999999999960E10	-4.04737070313233540E1
3.06009999999999980E10	-4.05654712253592910E1
3.07010000000000010E10	-4.06568915239451020E1
3.08009999999999980E10	-4.07479706290145940E1
3.09010000000000010E10	-4.08387112096731290E1
3.10009999999999990E10	-4.09291159027381820E1
3.11010000000000010E10	-4.10191873132687410E1
3.12009999999999990E10	-4.11089280150837230E1
3.13009999999999970E10	-4.11983405512697940E1
3.14009999999999990E10	-4.12874274346787650E1
3.15009999999999970E10	-4.13761911484149710E1
3.16009999999999990E10	-4.14646341463126070E1
3.17010000000000010E10	-4.15527588534035170E1
3.18009999999999990E10	-4.16405676663756450E1
3.19010000000000020E10	-4.17280629540221510E1
3.20009999999999990E10	-4.18152470576816440E1
3.21009999999999970E10	-4.19021222916697230E1
3.22010000000000000E10	-4.19886909437018920E1
3.23010000000000020E10	-4.20749552753082320E1
3.24009999999999950E10	-4.21609175222398050E1
3.25009999999999980E10	-4.22465798948672690E1
3.26010000000000000E10	-4.23319445785716300E1
3.27010000000000020E10	-4.24170137341274070E1
3.28010000000000000E10	-4.25017894980785460E1
3.29009999999999980E10	-4.25862739831068640E1
3.30009999999999960E10	-4.26704692783936230E1
3.31009999999999980E10	-4.27543774499741860E1
3.32010000000000010E10	-4.28380005410858100E1
3.33010000000000030E10	-4.29213405725089460E1
3.34009999999999960E10	-4.30043995429021390E1
3.35009999999999990E10	-4.30871794291305400E1
3.36010000000000010E10	-4.31696821865882900E1
3.37009999999999990E10	-4.32519097495149650E1
3.38010000000000010E10	-4.33338640313060530E1
3.39009999999999940E10	-4.34155469248177630E1
3.40009999999999970E10	-4.34969603026661480E1
3.41009999999999990E10	-4.35781060175207550E1
3.42010000000000010E10	-4.36589859023929620E1
3.43010000000000040E10	-4.37396017709189700E1
3.44009999999999970E10	-4.38199554176377410E1
3.45009999999999990E10	-4.39000486182638120E1
3.46009999999999970E10	-4.39798831299552880E1
3.47010000000000000E10	-4.40594606915770020E1
3.48010000000000020E10	-4.41387830239589100E1
3.49009999999999950E10	-4.42178518301499410E1
3.50009999999999980E10	-4.42966687956673160E1
3.51010000000000000E10	-4.43752355887414930E1
3.52010000000000020E10	-4.44535538605567200E1
3.53010000000000000E10	-4.45316252454874380E1
3.54009999999999980E10	-4.46094513613305300E1
3.55009999999999960E10	-4.46870338095334580E1
3.56009999999999980E10	-4.47643741754185510E1
3.57010000000000010E10	-4.48414740284033280E1
3.58010000000000030E10	-4.49183349222170230E1
3.59009999999999960E10	-4.49949583951134540E1
3.60009999999999990E10	-4.50713459700801700E1
3.61010000000000010E10	-4.51474991550440660E1
3.62009999999999990E10	-4.52234194430735230E1
3.63010000000000010E10	-4.52991083125770720E1
3.64009999999999940E10	-4.53745672274987740E1
3.65009999999999970E10	-4.54497976375102560E1
3.66009999999999990E10	-4.55248009781994960E1
3.67010000000000010E10	-4.55995786712566090E1
3.68010000000000040E10	-4.56741321246563370E1
3.69009999999999970E10	-4.57484627328376800E1
3.70009999999999990E10	-4.58225718768804310E1
3.71009999999999970E10	-4.58964609246789120E1
3.72010000000000000E10	-4.59701312311127990E1
3.73010000000000020E10	-4.60435841382151170E1
