"Zin_Im (L=4e-08,M=10) X","Zin_Im (L=4e-08,M=10) Y","Zin_Im (L=4e-08,M=20) X","Zin_Im (L=4e-08,M=20) Y","Zin_Im (L=8e-08,M=10) X","Zin_Im (L=8e-08,M=10) Y","Zin_Im (L=8e-08,M=20) X","Zin_Im (L=8e-08,M=20) Y"
0.9100000000000006,-1198.470866113075,0.9100000000000006,-528.5875216804537,0.9100000000000006,-880.6313612277178,0.9100000000000006,-395.1321999405501
0.9200000000000006,-1197.940061586758,0.9200000000000006,-528.4622606775372,0.9200000000000006,-879.6081851833252,0.9200000000000006,-394.6344514090246
0.9300000000000006,-1197.442496431098,0.9300000000000006,-528.3558133376085,0.9300000000000006,-878.6444343786644,0.9300000000000006,-394.1748020308011
0.9400000000000006,-1196.974929771651,0.9400000000000006,-528.2663927992322,0.9400000000000006,-877.7365927693668,0.9400000000000006,-393.7510183721142
0.9500000000000006,-1196.534367428372,0.9500000000000006,-528.1923622340817,0.9500000000000006,-876.8814225565601,0.9500000000000006,-393.361045616466
0.9600000000000006,-1196.118033944546,0.9600000000000006,-528.1322185288989,0.9600000000000006,-876.0759406347997,0.9600000000000006,-393.0029920574955
0.9700000000000006,-1195.723345245918,0.9700000000000006,-528.0845765718948,0.9700000000000006,-875.3173966802705,0.9700000000000006,-392.6751147800987
0.9800000000000006,-1195.347881624508,0.9800000000000006,-528.0481539547386,0.9800000000000006,-874.603252629577,0.9800000000000006,-392.3758063575069
0.9900000000000007,-1194.989360793279,0.9900000000000007,-528.0217559349237,0.9900000000000007,-873.9311633309979,0.9900000000000007,-392.1035824104634
1,-1194.645610823208,1,-528.0042605346473,1,-873.2989581874945,1,-391.8570699057319
