"Zopt_Re (L=4e-08,M=10) X","Zopt_Re (L=4e-08,M=10) Y","Zopt_Re (L=4e-08,M=20) X","Zopt_Re (L=4e-08,M=20) Y","Zopt_Re (L=8e-08,M=10) X","Zopt_Re (L=8e-08,M=10) Y","Zopt_Re (L=8e-08,M=20) X","Zopt_Re (L=8e-08,M=20) Y"
0.3400000000000001,394.5398969480032,0.3400000000000001,202.3316131847374,0.3400000000000001,187.0508107722973,0.3400000000000001,99.94798740129468
0.3500000000000001,411.6166062530393,0.3500000000000001,211.1089099968085,0.3500000000000001,194.7069850447814,0.3500000000000001,103.758005445938
0.3600000000000002,428.233097728462,0.3600000000000002,219.6401570709224,0.3600000000000002,203.6989492056993,0.3600000000000002,108.2360052047515
0.3700000000000002,444.3511411888311,0.3700000000000002,227.9045424074853,0.3700000000000002,213.6890946166544,0.3700000000000002,113.2056786879778
0.3800000000000002,459.9448631519317,0.3800000000000002,235.8882997199591,0.3800000000000002,224.3892472719293,0.3800000000000002,118.5174820536031
0.3900000000000002,474.9983423939078,0.3900000000000002,243.5834046485824,0.3900000000000002,235.5599234148338,0.3900000000000002,124.0484487722315
0.4000000000000002,489.5031432210599,0.4000000000000002,250.9862183335145,0.4000000000000002,247.0060477061379,0.4000000000000002,129.6998009123597
0.4100000000000002,503.4559637420909,0.4100000000000002,258.0961787028317,0.4100000000000002,258.5714923009194,0.4100000000000002,135.3937879063008
0.4200000000000002,516.8565342463243,0.4200000000000002,264.9146175565552,0.4200000000000002,270.1334724298528,0.4200000000000002,141.0704188520202
0.4300000000000002,529.7058552991327,0.4300000000000002,271.4437564115165,0.4300000000000002,281.5971466234895,0.4300000000000002,146.6843407675403
0.4400000000000002,542.0048224944097,0.4400000000000002,277.6859099562015,0.4400000000000002,292.8905177299193,0.4400000000000002,152.2019462814983
0.4500000000000002,553.7532484224309,0.4500000000000002,283.6429051822058,0.4500000000000002,303.9596933546714,0.4500000000000002,157.5987500835499
0.4600000000000002,564.9492638222175,0.4600000000000002,289.3157078636113,0.4600000000000002,314.7645906751082,0.4600000000000002,162.8570718224181
0.4700000000000003,575.5890591734758,0.4700000000000003,294.7042362100677,0.4700000000000003,325.2751859055628,0.4700000000000003,167.9640626876174
