"Zopt_Im (L=4e-08,M=10) X","Zopt_Im (L=4e-08,M=10) Y","Zopt_Im (L=4e-08,M=20) X","Zopt_Im (L=4e-08,M=20) Y","Zopt_Im (L=8e-08,M=10) X","Zopt_Im (L=8e-08,M=10) Y","Zopt_Im (L=8e-08,M=20) X","Zopt_Im (L=8e-08,M=20) Y"
0.7600000000000005,1474.429456366402,0.7600000000000005,745.9224242150004,0.7600000000000005,1022.626725677494,0.7600000000000005,516.7565153311974
0.7700000000000005,1473.550340136899,0.7700000000000005,745.523321629384,0.7700000000000005,1021.474823404469,0.7700000000000005,516.230744833269
0.7800000000000005,1472.753169446409,0.7800000000000005,745.1719821266493,0.7800000000000005,1020.409637420076,0.7800000000000005,515.7494469290727
0.7900000000000005,1472.030739667375,0.7900000000000005,744.8641580237251,0.7900000000000005,1019.422587553087,0.7900000000000005,515.3080347371654
0.8000000000000005,1471.376270876566,0.8000000000000005,744.5958445197194,0.8000000000000005,1018.505859895234,0.8000000000000005,514.9023289552943
0.8100000000000005,1470.783393497195,0.8100000000000005,744.3632728361281,0.8100000000000005,1017.65234690361,0.8100000000000005,514.5285267144573
0.8200000000000005,1470.246133370059,0.8200000000000005,744.1629029041346,0.8200000000000005,1016.855591617429,0.8200000000000005,514.1831725608163
0.8300000000000005,1469.758896378066,0.8300000000000005,743.9914156727376,0.8300000000000005,1016.109735767583,0.8300000000000005,513.8631314369846
0.8400000000000005,1469.316452738914,0.8400000000000005,743.8457051058739,0.8400000000000005,1015.409471564223,0.8400000000000005,513.5655635397359
0.8500000000000005,1468.913921062199,0.8500000000000005,743.7228699341147,0.8500000000000005,1014.749996945169,0.8500000000000005,513.2879009359274
0.8600000000000005,1468.546752264339,0.8600000000000005,743.6202052166605,0.8600000000000005,1014.126974078945,0.8600000000000005,513.0278258251577
0.8700000000000006,1468.210713404654,0.8700000000000006,743.5351937628078,0.8700000000000006,1013.536490918971,0.8700000000000006,512.7832503422692
0.8800000000000006,1467.901871496807,0.8800000000000006,743.4654974499329,0.8800000000000006,1012.975025613632,0.8800000000000006,512.5522977990165
0.8900000000000006,1467.616577317154,0.8900000000000006,743.4089484661257,0.8900000000000006,1012.439413579637,0.8900000000000006,512.3332852676318
0.9000000000000006,1467.351449219779,0.9000000000000006,743.3635404914621,0.9000000000000006,1011.9268170517,0.9000000000000006,512.1247074128729
0.9100000000000006,1467.103356932092,0.9100000000000006,743.3274198197486,0.9100000000000006,1011.434696922919,0.9100000000000006,511.9252214815097
0.9200000000000006,1466.869405288415,0.9200000000000006,743.2988764100528,0.9200000000000006,1010.960786694773,0.9200000000000006,511.7336333599842
0.9300000000000006,1466.646917832397,0.9300000000000006,743.2763348451188,0.9300000000000006,1010.503068354415,0.9300000000000006,511.5488846123396
0.9400000000000006,1466.433420200328,0.9400000000000006,743.2583451625445,0.9400000000000006,1010.05975000231,0.9400000000000006,511.3700404121527
0.9500000000000006,1466.226623184317,0.9500000000000006,743.243573517507,0.9500000000000006,1009.629245054689,0.9500000000000006,511.196278283247
0.9600000000000006,1466.024405364013,0.9600000000000006,743.2307926307727,0.9600000000000006,1009.210152851606,0.9600000000000006,511.0268775676684
0.9700000000000006,1465.824795203095,0.9700000000000006,743.2188719758989,0.9700000000000006,1008.80124051062,0.9700000000000006,510.8612095421446
0.9800000000000006,1465.625952511231,0.9800000000000006,743.2067676663082,0.9800000000000006,1008.401425876643,0.9800000000000006,510.6987281115344
0.9900000000000007,1465.426149207618,0.9900000000000007,743.1935120129134,0.9900000000000007,1008.009761438591,0.9900000000000007,510.5389610150305
1,1465.22374934717,1,743.1782027421037,1,1007.625419101806,1,510.3815014918149
