"Zin_Re (L=4e-08,M=10) X","Zin_Re (L=4e-08,M=10) Y","Zin_Re (L=4e-08,M=20) X","Zin_Re (L=4e-08,M=20) Y","Zin_Re (L=8e-08,M=10) X","Zin_Re (L=8e-08,M=10) Y","Zin_Re (L=8e-08,M=20) X","Zin_Re (L=8e-08,M=20) Y"
0.2800000000000001,26.5155770260272,0.2800000000000001,18.46475236668866,0.2800000000000001,29.43477134185716,0.2800000000000001,19.86194005286968
0.2900000000000001,26.34809810155239,0.2900000000000001,18.35856656598567,0.2900000000000001,28.82513859467301,0.2900000000000001,19.38477521794583
0.3000000000000001,26.18857250628481,0.3000000000000001,18.25984635307066,0.3000000000000001,28.22443645973068,0.3000000000000001,18.91354523294435
0.3100000000000001,26.03769684714827,0.3100000000000001,18.16876369713814,0.3100000000000001,27.64044683623407,0.3100000000000001,18.45489237386073
0.3200000000000001,25.89599057742892,0.3200000000000001,18.08531969869324,0.3200000000000001,27.07919295298878,0.3200000000000001,18.01408196570867
0.3300000000000001,25.76381304452861,0.3300000000000001,18.00938039439434,0.3300000000000001,26.54502643348173,0.3300000000000001,17.59506007045229
0.3400000000000001,25.64137867605035,0.3400000000000001,17.94070556483984,0.3400000000000001,26.04086907471056,0.3400000000000001,17.20063784109579
0.3500000000000001,25.52877034914784,0.3500000000000001,17.87897067095578,0.3500000000000001,25.56849289791785,0.3500000000000001,16.83270701594061
0.3600000000000002,25.42595110062913,0.3600000000000002,17.82378307276374,0.3600000000000002,25.12877609434521,0.3600000000000002,16.49243555951449
0.3700000000000002,25.33277447375192,0.3700000000000002,17.77469427705563,0.3700000000000002,24.72191388350467,0.3700000000000002,16.18042652570868
0.3800000000000002,25.24899394823549,0.3800000000000002,17.73121011776977,0.3800000000000002,24.34758523717818,0.3800000000000002,15.89684112782006
0.3900000000000002,25.17427201646582,0.3900000000000002,17.69280054648501,0.3900000000000002,24.00508391872658,0.3900000000000002,15.64149293530941
0.4000000000000002,25.10818950210063,0.4000000000000002,17.65891020379219,0.4000000000000002,23.69342234670242,0.4000000000000002,15.4139199919901
0.4100000000000002,25.05025564812922,0.4100000000000002,17.62897029729292,0.4100000000000002,23.41141434432064,0.4100000000000002,15.2134396398483
0.4200000000000002,24.99991933561103,0.4200000000000002,17.60241167341757,0.4200000000000002,23.15774041431915,0.4200000000000002,15.03918906579432
0.4300000000000002,24.95658156100001,0.4300000000000002,17.57867845887573,0.4300000000000002,22.93099766724877,0.4300000000000002,14.89015375008677
0.4400000000000002,24.91960904036722,0.4400000000000002,17.55724133989976,0.4400000000000002,22.72973598297457,0.4400000000000002,14.76518600625421
0.4500000000000002,24.88834856700509,0.4500000000000002,17.53760946881955,0.4500000000000002,22.55248210651428,0.4500000000000002,14.66301627845015
0.4600000000000002,24.8621415650751,0.4600000000000002,17.51934011369003,0.4600000000000002,22.3977538183981,0.4600000000000002,14.58226038299024
0.4700000000000003,24.84033818145291,0.4700000000000003,17.50204544047985,0.4700000000000003,22.26406677252729,0.4700000000000003,14.52142611587397
0.4800000000000003,24.82231025099459,0.4800000000000003,17.48539616258678,0.4800000000000003,22.1499368507134,0.4800000000000003,14.47892241226841
0.4900000000000003,24.8074625507131,0.4900000000000003,17.46912213526981,0.4900000000000003,22.05388083013785,0.4900000000000003,14.45307350413673
0.5000000000000002,24.79524190594449,0.5000000000000002,17.45301025661165,0.5000000000000002,21.97441777099944,0.5000000000000002,14.44213938404116
0.5100000000000002,24.78514389629383,0.5100000000000002,17.43690022616648,0.5100000000000002,21.91007286227832,0.5100000000000002,14.44434255473721
0.5200000000000002,24.77671710351775,0.5200000000000002,17.4206788013512,0.5200000000000002,21.85938462610972,0.5200000000000002,14.45789977932124
0.5300000000000002,24.76956501846427,0.5300000000000002,17.4042731888363,0.5300000000000002,21.82091552057269,0.5300000000000002,14.4810565819017
0.5400000000000003,24.76334586330658,0.5400000000000003,17.38764413800626,0.5400000000000003,21.79326524318627,0.5400000000000003,14.51212174168998
0.5500000000000003,24.75777067800224,0.5500000000000003,17.37077919359088,0.5500000000000003,21.77508552714579,0.5500000000000003,14.54949902010211
0.5600000000000003,24.75260006534353,0.5600000000000003,17.35368643798113,0.5600000000000003,21.76509499715275,0.5600000000000003,14.59171379773502
0.5700000000000003,24.74763999279627,0.5700000000000003,17.33638893341769,0.5700000000000003,21.76209269604688,0.5700000000000003,14.63743303066438
0.5800000000000003,24.74273186010742,0.5800000000000003,17.3189104303097,0.5800000000000003,21.76496915280217,0.5800000000000003,14.6854777875515
0.5900000000000003,24.73776831064345,0.5900000000000003,17.30131008482385,0.5900000000000003,21.77271424732094,0.5900000000000003,14.7348284389807
0.6000000000000003,24.73265668076065,0.6000000000000003,17.2836206466133,0.6000000000000003,21.78442154830941,0.6000000000000003,14.78462322044884
0.6100000000000003,24.72733542832849,0.6100000000000003,17.2658856136771,0.6100000000000003,21.79928918404546,0.6100000000000003,14.83415132354476
0.6200000000000003,24.72176429323421,0.6200000000000003,17.24814742938618,0.6200000000000003,21.81661760387049,0.6200000000000003,14.88284187885247
0.6300000000000003,24.7159202698019,0.6300000000000003,17.23044622581714,0.6300000000000003,21.83580478056418,0.6300000000000003,14.93025021267817
0.6400000000000003,24.70979404623725,0.6400000000000003,17.21281898523995,0.6400000000000003,21.85633949421902,0.6400000000000003,14.9760426384679
0.6500000000000004,24.70338692523277,0.6500000000000004,17.19529904067096,0.6500000000000004,21.87779334188551,0.6500000000000004,15.01998083797109
0.6600000000000004,24.6967082105454,0.6600000000000004,17.1779158371663,0.6600000000000004,21.89981206189792,0.6600000000000004,15.06190664761461
0.6700000000000004,24.68977302859954,0.6700000000000004,17.16069488761373,0.6700000000000004,21.92211237468549,0.6700000000000004,15.10173898841983
0.6800000000000004,24.68260054389015,0.6800000000000004,17.14365786835952,0.6800000000000004,21.94445016465933,0.6800000000000004,15.13941518549322
0.6900000000000004,24.67521252255933,0.6900000000000004,17.12682281103931,0.6900000000000004,21.9666474759505,0.6900000000000004,15.17495009052552
0.7000000000000004,24.66763219750051,0.7000000000000004,17.11020435635816,0.7000000000000004,21.98856124452097,0.7000000000000004,15.20837805826689
0.7100000000000004,24.65988338989861,0.7100000000000004,17.09381404338753,0.7100000000000004,22.01008252153638,0.7100000000000004,15.23975709435544
0.7200000000000004,24.65198984492574,0.7200000000000004,17.07766061489646,0.7200000000000004,22.03113049898896,0.7200000000000004,15.26916203066498
0.7300000000000004,24.6439747439502,0.7300000000000004,17.06175032454032,0.7300000000000004,22.05164732791503,0.7300000000000004,15.29667898995319
0.7400000000000004,24.63586035991475,0.7400000000000004,17.04608723559667,0.7400000000000004,22.0715936841508,0.7400000000000004,15.32240097190148
0.7500000000000004,24.62766782662383,0.7500000000000004,17.03067350475879,0.7500000000000004,22.09094502060257,0.7500000000000004,15.3464243980999
0.7600000000000005,24.61941699799256,0.7600000000000005,17.0155096466218,0.7600000000000005,22.10968843456967,0.7600000000000005,15.36884646211356
0.7700000000000005,24.61112637617541,0.7700000000000005,17.00059477636779,0.7700000000000005,22.12782007503082,0.7700000000000005,15.38976314341571
0.7800000000000005,24.60281309212344,0.7800000000000005,16.9859268296361,0.7800000000000005,22.14534301667871,0.7800000000000005,15.40926776032694
0.7900000000000005,24.59449292444313,0.7900000000000005,16.97150275967315,0.7900000000000005,22.1622655313366,0.7900000000000005,15.42744995416644
0.8000000000000005,24.58618034573406,0.8000000000000005,16.95731871215957,0.8000000000000005,22.17859969396846,0.8000000000000005,15.44439501299932
0.8100000000000005,24.57788858735026,0.8100000000000005,16.94337017882578,0.8100000000000005,22.19436026735865,0.8100000000000005,15.46018345896443
0.8200000000000005,24.56962971623333,0.8200000000000005,16.92965213149224,0.8200000000000005,22.20956381671401,0.8200000000000005,15.47489083671785
0.8300000000000005,24.56141471828645,0.8300000000000005,16.91615913779924,0.8300000000000005,22.22422801246261,0.8300000000000005,15.48858765219775
0.8400000000000005,24.55325358466011,0.8400000000000005,16.90288546060247,0.8400000000000005,22.23837108580026,0.8400000000000005,15.50133942158168
0.8500000000000005,24.54515539856451,0.8500000000000005,16.88982514279077,0.8500000000000005,22.25201140750388,0.8500000000000005,15.51320679841685
0.8600000000000005,24.53712842068685,0.8600000000000005,16.87697207942783,0.8600000000000005,22.26516716539836,0.8600000000000005,15.52424575419424
0.8700000000000006,24.52918017275095,0.8700000000000006,16.86432007914565,0.8700000000000006,22.27785612065604,0.8700000000000006,15.53450779335853
0.8800000000000006,24.52131751914234,0.8800000000000006,16.85186291701455,0.8800000000000006,22.29009542661703,0.8800000000000006,15.54404018861743
