"S11  (L=8e-08,M=20) X","S11  (L=8e-08,M=20) YRe","S11  (L=8e-08,M=20) YReImag","S11  (L=4e-08,M=10) X","S11  (L=4e-08,M=10) YRe","S11  (L=4e-08,M=10) YReImag","S11  (L=4e-08,M=20) X","S11  (L=4e-08,M=20) YRe","S11  (L=4e-08,M=20) YReImag","S11  (L=8e-08,M=10) X","S11  (L=8e-08,M=10) YRe","S11  (L=8e-08,M=10) YReImag"
0.2300000000000001,0.9910385899690679,-0.1111570981271799,0.2300000000000001,0.9978332266458636,-0.05285409652882855,0.2300000000000001,0.9926650527073013,-0.1027791334956725,0.2300000000000001,0.9972687011219685,-0.0575498088306465
0.2400000000000001,0.9909242613793625,-0.1121651810514082,0.2400000000000001,0.9977992788640302,-0.05333117423707325,0.2400000000000001,0.9925124194844335,-0.1039374487394023,0.2400000000000001,0.9972393402705908,-0.0580391422626511
0.2500000000000001,0.9907785468036545,-0.1133915376179545,0.2500000000000001,0.9977620110521868,-0.05384579057151762,0.2500000000000001,0.9923424821968803,-0.1052034483538798,0.2500000000000001,0.9972012462777462,-0.05863474931779803
0.2600000000000001,0.9905992843753717,-0.1148436957623665,0.2600000000000001,0.9977214800463059,-0.05439582744410516,0.2600000000000001,0.9921549923662221,-0.1065741932848287,0.2600000000000001,0.9971538599051299,-0.05933989538770783
0.2700000000000001,0.9903853715376512,-0.116519923401104,0.2700000000000001,0.9976777441083562,-0.05497918099819422,0.2700000000000001,0.9919497438659912,-0.1080463878809198,0.2700000000000001,0.9970969425469138,-0.0601531270687129
0.2800000000000001,0.990136731410133,-0.1184100705302665,0.2800000000000001,0.9976308631444812,-0.05559377343096932,0.2800000000000001,0.9917265747784367,-0.1096164292393002,0.2800000000000001,0.9970305700839535,-0.06106866296942664
0.2900000000000001,0.9898540790140313,-0.1204979288697466,0.2900000000000001,0.9975809004532556,-0.05623754201397451,0.2900000000000001,0.9914853744798904,-0.1112804080628965,0.2900000000000001,0.9969550685155883,-0.06207755077304428
0.3000000000000001,0.9895385858026577,-0.1227642021420065,0.3000000000000001,0.9975279245766195,-0.05690842562743778,0.3000000000000001,0.9912260903418182,-0.113034107277648,0.3000000000000001,0.9968709192381999,-0.06316914526782398
0.3100000000000001,0.9891915624251257,-0.1251891205202151,0.3100000000000001,0.9974720105851873,-0.05760435804926732,0.3100000000000001,0.9909487316006542,-0.114873018697744,0.3100000000000001,0.9967786684325728,-0.06433242515329558
0.3200000000000001,0.9888142395958397,-0.1277541412340583,0.3200000000000001,0.9974132407679523,-0.05832326851539768,0.3200000000000001,0.990653370952947,-0.1167923752992346,0.3200000000000001,0.9966788637979938,-0.06555686469222907
0.3300000000000001,0.9884076650348854,-0.1304426904907711,0.3300000000000001,0.9973517050783665,-0.05906308526965989,0.3300000000000001,0.9903401463654025,-0.1187871835633906,0.3300000000000001,0.9965720241014386,-0.06683283130373578
0.3400000000000001,0.9879726899640999,-0.1332402218789452,0.3400000000000001,0.9972875018171237,-0.05982173654901076,0.3400000000000001,0.9900092662331801,-0.1208522373309014,0.3400000000000001,0.9964586340817569,-0.06815164207791609
0.3500000000000001,0.987510004158054,-0.1361339348573671,0.3500000000000001,0.9972207389694148,-0.06059714456460639,0.3500000000000001,0.9896610205532907,-0.1229820991340067,0.3500000000000001,0.996339152924677,-0.06950544920310409
0.3600000000000002,0.9870201852647043,-0.1391124125002921,0.3600000000000002,0.9971515364365136,-0.06138721036648927,0.3600000000000002,0.9892957995543907,-0.1251710436605233,0.3600000000000002,0.9962140263360129,-0.07088708426759546
0.3700000000000002,0.9865037424332781,-0.1421653147798771,0.3700000000000002,0.9970800291749278,-0.06218979009509434,0.3700000000000002,0.9889141196232727,-0.1274129677607247,0.3700000000000002,0.9960836962683146,-0.07228993130504355
0.3800000000000002,0.9859611473978229,-0.1452831658932295,0.3800000000000002,0.9970063710323578,-0.06300266540839601,0.3800000000000002,0.9885166547391067,-0.129701279906849,0.3800000000000002,0.9959486060414136,-0.07370785030092396
0.3900000000000002,0.9853928549225135,-0.1484572176574416,0.3900000000000002,0.9969307388839244,-0.06382351247873708,0.3900000000000002,0.9881042702434246,-0.1320287877989284,0.3900000000000002,0.995809201045432,-0.07513514482283161
0.4000000000000002,0.9847993189330588,-0.1516793489436445,0.4000000000000002,0.9968533365474364,-0.06464987472819915,0.4000000000000002,0.9876780548325585,-0.134387605198885,0.4000000000000002,0.9956659264667176,-0.07656655594080009
0.4100000000000002,0.984181011760983,-0.1549419613196179,0.4100000000000002,0.996774397905273,-0.06547914440575194,0.4100000000000002,0.9872393462766633,-0.1367690980156704,0.4100000000000002,0.9955192238664319,-0.07799726348422793
0.4200000000000002,0.9835384527571773,-0.158237843200043,0.4200000000000002,0.9966941886868024,-0.06630855728944723,0.4200000000000002,0.9867897465915849,-0.1391638855685332,0.4200000000000002,0.9953695282883663,-0.07942287987364721
