"Gmin  (L=4e-08,M=10) X","Gmin  (L=4e-08,M=10) YRe","Gmin  (L=4e-08,M=10) YReImag","Gmin  (L=4e-08,M=20) X","Gmin  (L=4e-08,M=20) YRe","Gmin  (L=4e-08,M=20) YReImag","Gmin  (L=8e-08,M=10) X","Gmin  (L=8e-08,M=10) YRe","Gmin  (L=8e-08,M=10) YReImag","Gmin  (L=8e-08,M=20) X","Gmin  (L=8e-08,M=20) YRe","Gmin  (L=8e-08,M=20) YReImag"
0.4200000000000002,0.9810704696666681,0.05459907817923872,0.4200000000000002,0.960443496707859,0.1048632818166081,0.4200000000000002,0.981185265187851,0.0743179588943715,0.4200000000000002,0.9573879841835079,0.143129136503639
0.4300000000000002,0.9805027006747697,0.05461835167593655,0.4300000000000002,0.9593063185640339,0.104898439779677,0.4300000000000002,0.9800295243036673,0.07499127563729995,0.4300000000000002,0.9550516732058479,0.1443352887418674
0.4400000000000002,0.9799564478240453,0.05462566796567414,0.4400000000000002,0.9582127028850086,0.1049097843240632,0.4400000000000002,0.9788744638744279,0.07559581134351465,0.4400000000000002,0.9527312256942317,0.1454052113905032
0.4500000000000002,0.9794324442901976,0.05462226477571919,0.4500000000000002,0.9571640288945972,0.1048997009293479,0.4500000000000002,0.9777288757337713,0.07613140925638699,0.4500000000000002,0.9504437465078612,0.1463398413177109
0.4600000000000002,0.9789313005158646,0.05460949863405961,0.4600000000000002,0.956161399407514,0.104870804656741,0.4600000000000002,0.9766004922853121,0.07659911516946367,0.4600000000000002,0.9482039564595659,0.1471424130718814
0.4700000000000003,0.9784535182049627,0.05458882740834399,0.4700000000000003,0.9552056767511971,0.1048259073604646,0.4700000000000003,0.9754960182684077,0.07700102853061171,0.4700000000000003,0.9460243046394243,0.1478181310660095
0.4800000000000003,0.9779994991251849,0.05456178892254723,0.4800000000000003,0.9542975077974342,0.1047679774516243,0.4800000000000003,0.9744211862070696,0.07734015082674967,0.4800000000000003,0.943915125658028,0.1483738445518115
0.4900000000000003,0.9775695499973004,0.05452997632409272,0.4900000000000003,0.9534373404660273,0.1047000933686758,0.4900000000000003,0.9733808240197036,0.07762023507489904,0.4900000000000003,0.9418848181665047,0.1488177326544004
0.5000000000000002,0.977163884797057,0.05449501118758666,0.5000000000000002,0.9526254342299872,0.1046253925663168,0.5000000000000002,0.9723789257999798,0.07784563830946725,0.5000000000000002,0.9399400266846261,0.1491590027577649
0.5100000000000002,0.9767826257035508,0.05445851552595433,0.5100000000000002,0.9518618670256573,0.1045470182322889,0.5100000000000002,0.9714187202260955,0.07802117818597105,0.5100000000000002,0.938085815809561,0.1494076039589063
0.5200000000000002,0.9764258037386061,0.05442208393711676,0.5200000000000002,0.951146540640586,0.1044680660822552,0.5200000000000002,0.9705026767971827,0.07815198995967472,0.5200000000000002,0.9363257188722575,0.1495739390359525
0.5300000000000002,0.9760933598955862,0.05438725705762223,0.5300000000000002,0.9504791862007614,0.1043915334938089,0.5300000000000002,0.9696327300627381,0.07824340961179375,0.5300000000000002,0.9346622180658163,0.149668667922962
0.5400000000000003,0.9757851472906495,0.05435549734604962,0.5400000000000003,0.9498593708804934,0.1043202729663604,0.5400000000000003,0.9688101797379518,0.07830083829920746,0.5400000000000003,0.9330965625255775,0.1497024280283783
0.5500000000000003,0.9755009211676451,0.05432816725164814,0.5500000000000003,0.9492864738477753,0.1042569479530289,0.5500000000000003,0.9680357894027388,0.0783296355327406,0.5500000000000003,0.9316290021276377,0.14968564968045
0.5600000000000003,0.9752403174069441,0.054306510368887,0.5600000000000003,0.9487596739171102,0.1042039967644177,0.5600000000000003,0.9673098423082938,0.07833502205385011,0.5600000000000003,0.9302589137997754,0.1496283840926615
0.5700000000000003,0.9750030152913207,0.0542916468600977,0.5700000000000003,0.948278221334781,0.1041636346574707,0.5700000000000003,0.966632194768393,0.0783219974745132,0.5700000000000003,0.9289849227263673,0.1495401622670431
0.5800000000000003,0.9747884611187922,0.05428453749367815,0.5800000000000003,0.9478409027367497,0.1041377629661505,0.5800000000000003,0.9660023298333833,0.07829527378790282,0.5800000000000003,0.9278050192923725,0.1494298855106991
0.5900000000000003,0.9745963648811955,0.05428605237273006,0.5900000000000003,0.9474471237830218,0.1041281325883679,0.5900000000000003,0.9654194107588875,0.07825922485030118,0.5900000000000003,0.9267166710360248,0.1493057467119631
