/M0/D (M=1) X,/M0/D (M=1) Y,/M0/D (M=10) X,/M0/D (M=10) Y,/M0/D (M=20) X,/M0/D (M=20) Y
0.7400000000000004,0.0005837394090704168,0.7400000000000004,0.005365009043705235,0.7400000000000004,0.01046449896889495
0.7500000000000004,0.0006051052638029023,0.7500000000000004,0.005573199636701506,0.7500000000000004,0.01087725204153641
0.7600000000000005,0.0006265853747383489,0.7600000000000005,0.005782743939339768,0.7600000000000005,0.01129283332399165
0.7700000000000005,0.0006481687361025542,0.7700000000000005,0.005993519649640591,0.7700000000000005,0.01171099183219272
0.7800000000000005,0.0006698451874219841,0.7800000000000005,0.006205413447725771,0.7800000000000005,0.01213149476594138
0.7900000000000005,0.0006916053587118198,0.7900000000000005,0.00641832046306268,0.7900000000000005,0.01255412646125438
0.8000000000000005,0.0007134406167359693,0.8000000000000005,0.006632143741624373,0.8000000000000005,0.01297868733556787
0.8100000000000005,0.0007353430129284139,0.8100000000000005,0.006846793721225961,0.8100000000000005,0.01340499284370397
0.8200000000000005,0.0007573052334014374,0.8200000000000005,0.007062187721279534,0.8200000000000005,0.01383287245825804
0.8300000000000005,0.000779320551331942,0.8300000000000005,0.007278249451525764,0.8300000000000005,0.01426216868451254
0.8400000000000005,0.0008013827819084201,0.8400000000000005,0.007494908542917588,0.8400000000000005,0.01469273611704964
0.8500000000000005,0.0008234862399347306,0.8500000000000005,0.007712100102709676,0.8500000000000005,0.01512444054284763
0.8600000000000005,0.0008456257001191489,0.8600000000000005,0.007929764294912947,0.8600000000000005,0.0155571580937304
0.8700000000000006,0.0008677963600252401,0.8700000000000006,0.008147845946569752,0.8700000000000006,0.01599077444952514
0.8800000000000006,0.0008899938056221535,0.8800000000000006,0.008366294179763268,0.8800000000000006,0.01642518409210991
0.8900000000000006,0.000912213979343636,0.8900000000000006,0.00858506206886527,0.8900000000000006,0.01686028960963746
0.9000000000000006,0.0009344531505453586,0.9000000000000006,0.008804106322226111,0.9000000000000006,0.0172960010495595
0.9100000000000006,0.0009567078882372318,0.9100000000000006,0.009023386987298888,0.9100000000000006,0.01773223531860057
0.9200000000000006,0.0009789750359599976,0.9200000000000006,0.009242867178047934,0.9200000000000006,0.01816891562750513
0.9300000000000006,0.001001251688671993,0.9300000000000006,0.009462512823406138,0.9300000000000006,0.01860597097817761
0.9400000000000006,0.001023535171512022,0.9400000000000006,0.009682292435503274,0.9400000000000006,0.01904333569072197
0.9500000000000006,0.001045823020306473,0.9500000000000006,0.00990217689637788,0.9500000000000006,0.01948094896784966
0.9600000000000006,0.001068112963692972,0.9600000000000006,0.01012213926190216,0.9600000000000006,0.0199187544941383
0.9700000000000006,0.001090402906738045,0.9700000000000006,0.01034215458168223,0.9700000000000006,0.02035670006768011
0.9800000000000006,0.001112690915932416,0.9800000000000006,0.01056219973374476,0.9800000000000006,0.02079473726174357
0.9900000000000007,0.00113497520545412,0.9900000000000007,0.01078225327287606,0.9900000000000007,0.02123282111417692
1,0.0011572541245964,1,0.0110022952915419,1,0.02167090984239841
