S21 (M=10) X,S21 (M=10) Y,S21 (M=20) X,S21 (M=20) Y,S21 (M=1) X,S21 (M=1) Y
0.3850000000000002,-22.14483433925246,0.3850000000000002,-16.29999927665526,0.3850000000000002,-40.92677045189654
0.3960000000000002,-20.82749400842359,0.3960000000000002,-14.97660622300492,0.3960000000000002,-39.65376034934054
0.4070000000000002,-19.54356895866965,0.4070000000000002,-13.68673333917191,0.4070000000000002,-38.4149083660335
0.4180000000000002,-18.29571788925905,0.4180000000000002,-12.43366145556118,0.4180000000000002,-37.21153549923328
0.4290000000000002,-17.08591096027958,0.4290000000000002,-11.21981738829946,0.4290000000000002,-36.04470710193051
0.4400000000000002,-15.91576786439814,0.4400000000000002,-10.04715901837801,0.4400000000000002,-34.91543423319416
0.4510000000000002,-14.78676137712906,0.4510000000000002,-8.917412901819315,0.4510000000000002,-33.82477817352233
0.4620000000000002,-13.70031938426917,0.4620000000000002,-7.832199777843555,0.4620000000000002,-32.77388285874566
0.4730000000000003,-12.65785344430616,0.4730000000000003,-6.7930784559261,0.4730000000000003,-31.76395678656834
0.4840000000000003,-11.66073737195734,0.4840000000000003,-5.801533685167447,0.4840000000000003,-30.79622172411448
0.4950000000000003,-10.71025533589102,0.4950000000000003,-4.858929274009054,0.4950000000000003,-29.87184357709425
0.5060000000000002,-9.807535409142536,0.5060000000000002,-3.966443884046005,0.5060000000000002,-28.99185752618504
0.5170000000000002,-8.953481218279087,0.5170000000000002,-3.125003386393177,0.5170000000000002,-28.15709705641916
0.5280000000000002,-8.148711202626528,0.5280000000000002,-2.335220307044296,0.5280000000000002,-27.36813390046542
0.5390000000000003,-7.393512005812263,0.5390000000000003,-1.597347661720039,0.5390000000000003,-26.62523345266109
0.5500000000000003,-6.687809740992508,0.5500000000000003,-0.9112514463208523,0.5500000000000003,-25.92832794983027
0.5610000000000003,-6.031160402401541,0.5610000000000003,-0.2764033216328506,0.5610000000000003,-25.277007751342
0.5720000000000003,-5.422758648673848,0.5720000000000003,0.3081072568434444,0.5720000000000003,-24.67052946533158
0.5830000000000003,-4.86146264136302,0.5830000000000003,0.8435439512708299,0.5830000000000003,-24.10783851169835
0.5940000000000003,-4.345831622198506,0.5940000000000003,1.331481114475966,0.5940000000000003,-23.5876029977599
0.6050000000000003,-3.874172486447074,0.6050000000000003,1.773752174176975,0.6050000000000003,-23.10825548165375
0.6160000000000003,-3.44459125486472,0.6160000000000003,2.172392983217468,0.6160000000000003,-22.66803925030631
0.6270000000000003,-3.055046680395004,0.6270000000000003,2.529583884081515,0.6270000000000003,-22.26505605921003
0.6380000000000003,-2.703402167110519,0.6380000000000003,2.847593559945643,0.6380000000000003,-21.89731277765198
0.6490000000000004,-2.387474474361261,0.6490000000000004,3.128726941465245,0.6490000000000004,-21.56276496645106
0.6600000000000004,-2.105077437253833,0.6600000000000004,3.375278634921455,0.6600000000000004,-21.25935601002676
0.6710000000000004,-1.854059881644163,0.6710000000000004,3.589492633367228,0.6710000000000004,-20.98505097393602
0.6820000000000004,-1.632337384203315,0.6820000000000004,3.773528536684021,0.6820000000000004,-20.73786482658871
0.6930000000000004,-1.437807420031811,0.6930000000000004,3.929546769784482,0.6930000000000004,-20.51583965139533
0.7040000000000004,-1.268824770997792,0.7040000000000004,4.059222697693558,0.7040000000000004,-20.31724934839204
0.7150000000000004,-1.123509869609897,0.7150000000000004,4.164455286889357,0.7150000000000004,-20.1403211979322
0.7260000000000004,-1.000244635247942,0.7260000000000004,4.246845568033805,0.7260000000000004,-19.9834446449981
0.7370000000000004,-0.8975504925502509,0.7370000000000004,4.307844287381386,0.7370000000000004,-19.84512348417533
0.7480000000000004,-0.8140885116022871,0.7480000000000004,4.348738479903719,0.7480000000000004,-19.72397703923019
0.7590000000000005,-0.7486557529758855,0.7590000000000005,4.370661925847664,0.7590000000000005,-19.61873879823591
0.7700000000000005,-0.7001786324157134,0.7700000000000005,4.374606086914106,0.7700000000000005,-19.52825306494919
0.7810000000000005,-0.6677040684988713,0.7810000000000005,4.361434194915964,0.7810000000000005,-19.45147009992741
0.7920000000000005,-0.6503891555043708,0.7920000000000005,4.331897256050858,0.7920000000000005,-19.38744014834076
0.8030000000000005,-0.6474899848562971,0.8030000000000005,4.286650829541194,0.8030000000000005,-19.33530667377414
0.8140000000000005,-0.6583500548621674,0.8140000000000005,4.226271725742211,0.8140000000000005,-19.29429904660286
0.8250000000000005,-0.6823885153956734,0.8250000000000005,4.15127414043021,0.8250000000000005,-19.26372487756215
0.8360000000000005,-0.7190883430378212,0.8360000000000005,4.062125075307351,0.8360000000000005,-19.24296214472239
0.8470000000000005,-0.7679844624676752,0.8470000000000005,3.95925910371068,0.8470000000000005,-19.23145123540275
0.8580000000000005,-0.8286518258848383,0.8580000000000005,3.843092596860065,0.8580000000000005,-19.22868701195893
0.8690000000000005,-0.9006935199892908,0.8690000000000005,3.714037450262798,0.8690000000000005,-19.23421100916653
0.8800000000000006,-0.9837290667308529,0.8800000000000006,3.572514189457409,0.8800000000000006,-19.2476038777104
0.8910000000000006,-1.077383194728801,0.8910000000000006,3.418964143391331,0.8910000000000006,-19.26847819914868
