s21 (Lg=8.3e-09) X,s21 (Lg=8.3e-09) Y
16218100973.58912,-11.92680837403091
16595869074.37543,-13.00491305707288
16982436524.61726,-14.0670163693841
17378008287.49356,-15.11316423043591
17782794100.38903,-16.14333370844789
18197008586.09964,-17.15743143882626
18620871366.62847,-18.15529146679743
19054607179.63226,-19.13667253914336
19498445997.58024,-20.10125489514894
19952623149.68858,-21.04863664533626
20417379446.69507,-21.97832989336257
20892961308.54016,-22.88975686136935
21379620895.02208,-23.78224644631271
21877616239.49528,-24.65503189688299
22387211385.68314,-25.50725070877943
22908676527.67747,-26.3379484775718
23442288153.19896,-27.14608944704558
23988329190.19463,-27.93057805526006
24547089156.85003,-28.69029822482746
25118864315.09552,-29.42418095444364
25703957827.68835,-30.13131666276045
26302679918.95352,-30.8111377198894
26915348039.26885,-31.46370987813684
27542287033.38135,-32.0901898061091
28183829312.64422,-32.6935285986935
28840315031.26573,-33.27952047280593
29512092266.66352,-33.8582875095972
30199517204.01982,-34.44619519674836
30902954325.13555,-35.06789492898252
31622776601.68343,-35.75755397315574
32359365692.96245,-36.55743762855626
33113112148.25872,-37.51166326600574
33884415613.91986,-38.65484145578468
34673685045.25276,-39.99996218851055
35481338923.35713,-41.53317911159918
36307805477.00971,-43.21942282423137
37153522909.71682,-45.01462645435626
38018939632.05567,-46.87692996031871
38904514499.4276,-48.77270681842217
39810717055.34925,-50.67783333112761
40738027780.41079,-52.57639767556702
41686938347.03304,-54.45865018168956
42657951880.15875,-56.31910221661347
43651583224.01607,-58.15506002776209
44668359215.09577,-59.96559210276621
45708818961.48695,-61.75083776466812
46773514128.71925,-63.51155830560195
47863009232.26324,-65.2488517359114
48977881936.84402,-66.96397480788053
50118723362.72661,-68.65823426592229
51286138399.13585,-70.33292236194158
52480746024.97661,-71.98928051994474
53703179637.0246,-73.62848083306743
54954087385.76177,-75.25161882666254
56234132519.03421,-76.85971332429803
57543993733.71497,-78.45371079262377
58884365535.55816,-80.03449252229362
60255958607.43502,-81.60288362579507
61659500186.14745,-83.15966322711083
63095734448.01853,-84.70557545848847
64565422903.46474,-86.24134102125916
66069344800.75877,-87.76766913873759
67608297539.19732,-89.28526975000298
69183097091.89276,-90.79486577981439
70794578438.41289,-92.29720527311684
72443596007.49808,-93.79307311889696
74131024130.09081,-95.28330200471926
75857757502.9174,-96.76878215436197
77624711662.86818,-98.25046930996234
79432823472.42712,-99.72939034468044
81283051616.40887,-101.2066458431799
83176377110.26602,-102.6834089834397
85113803820.23654,-104.1609201170755
87096358995.60693,-105.6404765831424
89125093813.3734,-107.1234175307573
91201083935.58978,-108.6111038480474
93325430079.69788,-110.1048937065392
95499258602.14233,-111.6061146817079
97723722095.57977,-113.116033858423
99999999999.99867,-114.6358277116284
102329299228.0741,-116.1665537862639
104712854805.0886,-117.7091262406833
107151930523.7592,-119.2642971160978
109647819614.317,-120.8326447635637
112201845430.1948,-122.4145702391644
114815362149.6867,-124.0103017489597
117489755493.9514,-125.6199064941915
120226443461.7397,-127.2433086296828
123026877081.2365,-128.8803115864672
125892541179.415,-130.5306227624625
128824955169.3117,-132.193878555769
131825673855.6389,-133.8696678623336
134896288259.1635,-135.5575524291945
138038426460.2866,-137.2570827745672
141253754462.2735,-138.9678086944074
144543977074.5908,-140.6892836258982
147910838816.8187,-142.4210622936882
151356124843.6187,-144.1626911202009
154881661891.246,-145.9136908323751
158489319246.1092,-147.6735305670128
162181009735.8907,-149.4415925963131
165958690743.7538,-151.2171266168514
169824365246.1721,-152.9991924553827
173780082874.9351,-154.7865901670136
177827941003.8898,-156.5777770319328
181970085860.9958,-158.3707721778643
186208713666.2841,-160.1630518367372
190546071796.322,-161.9514420249268
194984459975.8018,-163.7320210753503
199526231496.8851,-165.5000519639861
204173794466.95,-167.2499728896611
208929613085.4009,-168.9754816652548
213796208950.2201,-170.6697506694598
218776162394.9521,-172.3257982202337
223872113856.8307,-173.9370139393356
229086765276.774,-175.4977902577263
234422881531.9888,-177.0041608081862
239883291901.9456,-178.4543113242139
245470891568.4995,-179.848833724638
251188643150.9543,-181.1906481034259
257039578276.8826,-182.484602694585
