/M0/D (M=1) X,/M0/D (M=1) Y,/M0/D (M=10) X,/M0/D (M=10) Y,/M0/D (M=20) X,/M0/D (M=20) Y
0.5200000000000002,3.005841947220854e-05,0.5200000000000002,0.0003029030339213614,0.5200000000000002,0.0006071174042024527
0.5300000000000002,3.449627266193262e-05,0.5300000000000002,0.0003473538016195504,0.5300000000000002,0.0006960386337706527
0.5400000000000003,3.938058525589127e-05,0.5400000000000003,0.0003962233764721291,0.5400000000000003,0.0007937657968235872
0.5500000000000003,4.472316838149371e-05,0.5500000000000003,0.0004496209175971716,0.5500000000000003,0.0009005116034263287
0.5600000000000003,5.053221355565697e-05,0.5600000000000003,0.0005076197610670581,0.5600000000000003,0.00101641741672993
0.5700000000000003,5.681227815457076e-05,0.5700000000000003,0.000570257536401316,0.5700000000000003,0.001141553650268071
0.5800000000000003,6.356438502936198e-05,0.5800000000000003,0.0006375373825871269,0.5800000000000003,0.001275922335108872
0.5900000000000003,7.078622058410923e-05,0.5900000000000003,0.0007094300950825713,0.5900000000000003,0.001419461512948269
0.6000000000000003,7.847241117601072e-05,0.6000000000000003,0.0007858769966252019,0.6000000000000003,0.001572051037861945
0.6100000000000003,8.661485558979641e-05,0.6100000000000003,0.0008667933093392878,0.6100000000000003,0.001733519342437502
0.6200000000000003,9.52030913890947e-05,0.6200000000000003,0.00095207181097108,0.6200000000000003,0.001903650737665773
0.6300000000000003,0.0001042246747309498,0.6300000000000003,0.001041586579388241,0.6300000000000003,0.002082192860645264
0.6400000000000003,0.0001136655562041562,0.6400000000000003,0.00113519695766282,0.6400000000000003,0.002268863948686509
0.6500000000000004,0.0001235104388666155,0.6500000000000004,0.001232749876029026,0.6500000000000004,0.002463359692106075
0.6600000000000004,0.0001337431084303095,0.6600000000000004,0.001334084677927402,0.6600000000000004,0.002665359491983942
0.6700000000000004,0.0001443467291065922,0.6700000000000004,0.001439034878524193,0.6700000000000004,0.002874532016981032
0.6800000000000004,0.0001553041017376067,0.6800000000000004,0.001547430868717811,0.6800000000000004,0.003090540011031323
0.6900000000000004,0.000166597883375875,0.6900000000000004,0.001659101983762024,0.6900000000000004,0.003313044349574904
0.7000000000000004,0.0001782107694012568,0.7000000000000004,0.001773878208131843,0.7000000000000004,0.003541707375893832
0.7100000000000004,0.0001901256406162069,0.7100000000000004,0.001891591543266444,0.7100000000000004,0.003776195572075211
0.7200000000000004,0.0002023256786104399,0.7200000000000004,0.002012077072066228,0.7200000000000004,0.004016181632808479
0.7300000000000004,0.0002147944531270888,0.7300000000000004,0.002135173757460056,0.7300000000000004,0.004261346016512325
0.7400000000000004,0.0002275159852897017,0.7400000000000004,0.002260725012941151,0.7400000000000004,0.004511378528655986
0.7500000000000004,0.0002404747904512088,0.7500000000000004,0.002388579081541612,0.7500000000000004,0.004765977163780664
0.7600000000000005,0.0002536559041780297,0.7600000000000005,0.002518589256986325,0.7600000000000005,0.005024851306133075
0.7700000000000005,0.0002670448945457933,0.7700000000000005,0.002650613977302652,0.7700000000000005,0.005287720078709006
0.7800000000000005,0.0002806278635443395,0.7800000000000005,0.002784516817384799,0.7800000000000005,0.005554312763958881
0.7900000000000005,0.00029439144000231,0.7900000000000005,0.002920166403222715,0.7900000000000005,0.005824368624584433
0.8000000000000005,0.0003083227660686258,0.8000000000000005,0.00305743626690275,0.8000000000000005,0.006097636609159081
0.8100000000000005,0.000322409478943582,0.8100000000000005,0.003196204658194326,0.8100000000000005,0.0063738749734884
0.8200000000000005,0.0003366396892440074,0.8200000000000005,0.003336354325612816,0.8200000000000005,0.006652850842890679
0.8300000000000005,0.0003510019571180931,0.8300000000000005,0.003477772277317052,0.8300000000000005,0.006934339735613299
0.8400000000000005,0.0003654852669958579,0.8400000000000005,0.003620349530052722,0.8400000000000005,0.00721812506339709
0.8500000000000005,0.0003800790016690234,0.8500000000000005,0.003763980852566668,0.8500000000000005,0.00750399762171147
0.8600000000000005,0.0003947729162358684,0.8600000000000005,0.003908564508459104,0.8600000000000005,0.007791755079340656
0.8700000000000006,0.0004095571123188414,0.8700000000000006,0.004054002002273766,0.8700000000000006,0.008081201474729851
0.8800000000000006,0.0004244220128613992,0.8800000000000006,0.004200197831713113,0.8800000000000006,0.008372146724730677
0.8900000000000006,0.0004393583377320859,0.8900000000000006,0.004347059248170615,0.8900000000000006,0.008664406150042348
0.9000000000000006,0.0004543570803046152,0.9000000000000006,0.004494496027263811,0.9000000000000006,0.008957800020670136
0.9100000000000006,0.0004694094851399625,0.9100000000000006,0.004642420250699736,0.9100000000000006,0.009252153124055047
0.9200000000000006,0.0004845070268670757,0.9200000000000006,0.004790746100584793,0.9200000000000006,0.009547294358121863
0.9300000000000006,0.0004996413903408615,0.9300000000000006,0.00493938966718021,0.9300000000000006,0.00984305635130015
0.9400000000000006,0.0005148044521472179,0.9400000000000006,0.005088268771083319,0.9400000000000006,0.0101392751115567
0.9500000000000006,0.0005299882635234628,0.9500000000000006,0.005237302800864096,0.9500000000000006,0.01043578970660005
0.9600000000000006,0.0005451850347669315,0.9600000000000006,0.005386412567289063,0.9600000000000006,0.0107324419776423
0.9700000000000006,0.0005603871212130117,0.9700000000000006,0.0055355201754009,0.9700000000000006,0.01102907628939226
0.9800000000000006,0.0005755870108752923,0.9800000000000006,0.005684548915873161,0.9800000000000006,0.011325539319265
0.9900000000000007,0.000590777313852742,0.9900000000000007,0.005833423177200978,0.9900000000000007,0.01162167988907875
1,0.0006059507536205684,1,0.005982068380397486,1,0.01191734884271844
