s11 (Lg=8.3e-09) X,s11 (Lg=8.3e-09) Y
4750000000,-0.403756637369957
4760000000,-0.4080512166551204
4770000000,-0.4124195651781612
4780000000,-0.4168631803395865
4790000000,-0.4213835934590746
4800000000,-0.4259823705782497
4810000000,-0.4306611133757632
4820000000,-0.4354214600417682
4830000000,-0.4402650861829185
4840000000,-0.4451937058034902
4850000000,-0.4502090722471444
4860000000,-0.4553129792071062
4870000000,-0.4605072617526883
4880000000,-0.4657937973761386
4890000000,-0.4711745070847992
4900000000,-0.4766513565260608
4910000000,-0.4822263571052661
4920000000,-0.4879015671895321
4930000000,-0.4936790933084829
4940000000,-0.4995610914215099
4950000000,-0.5055497681485236
4960000000,-0.5116473821621225
4970000000,-0.517856245457524
4980000000,-0.5241787248183271
4990000000,-0.5306172432425487
5000000000,-0.5371742813647944
5010000000,-0.5438523790318066
5020000000,-0.5506541368314608
5030000000,-0.5575822177335039
5040000000,-0.5646393486836588
5050000000,-0.5718283223667906
5060000000,-0.5791519989227825
5070000000,-0.5866133077388598
5080000000,-0.594215249353
5090000000,-0.6019608973059001
5100000000,-0.6098534001247043
5110000000,-0.6178959833407396
5120000000,-0.6260919515782402
5130000000,-0.6344446906866312
5140000000,-0.6429576699407915
5150000000,-0.6516344443149452
5160000000,-0.6604786568132084
5170000000,-0.669494040889784
5180000000,-0.6786844228730753
5190000000,-0.688053724569988
5200000000,-0.6976059658543005
5210000000,-0.7073452673910164
5220000000,-0.7172758534075341
5230000000,-0.7274020545175777
5240000000,-0.7377283107413208
5250000000,-0.7482591744584535
5260000000,-0.7589993136108999
5270000000,-0.769953514914724
5280000000,-0.781126687085729
5290000000,-0.7925238643357988
5300000000,-0.8041502098800657
5310000000,-0.8160110195353726
5320000000,-0.828111725467902
5330000000,-0.840457900021896
5340000000,-0.8530552596567388
5350000000,-0.8659096690747459
5360000000,-0.8790271453402838
5370000000,-0.8924138622789657
5380000000,-0.9060761548822684
5390000000,-0.9200205239256986
5400000000,-0.9342536406180458
5410000000,-0.9487823515877309
5420000000,-0.9636136837594032
