S21 (M=20) X,S21 (M=20) Y,S21 (M=10) X,S21 (M=10) Y,S21 (M=1) X,S21 (M=1) Y
0.9900000000000007,9.816864604758385,0.9900000000000007,4.512385890417551,0.9900000000000007,-14.79712495438174
1.001000000000001,9.817871463573324,1.001000000000001,4.521695242767044,1.001000000000001,-14.77922734496294
1.012,9.816512159601366,1.012,4.528595595965151,1.012,-14.76373659166143
1.023,9.81289695141832,1.023,4.533203395383634,1.023,-14.75053017863446
1.034,9.807127261696287,1.034,4.535626094026209,1.034,-14.73949474084194
1.045,9.799296450218103,1.045,4.535962939080208,1.045,-14.73052525915339
1.056,9.789490504811155,1.056,4.534305675312254,1.056,-14.72352434021456
1.067,9.777788659591042,1.067,4.530739174831208,1.067,-14.71840157133027
1.078,9.764263960537576,1.078,4.525342007880788,1.078,-14.71507294102264
1.089,9.748983752508241,1.089,4.518186945256543,1.089,-14.71346031702357
1.1,9.732010130625428,1.1,4.509341416733327,1.1,-14.71349098011958
